"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dm_00000001",429.431058925226,0.48292491131562,0.0943480368089038,5.11854753579828,3.07897638428736e-07,6.89184222987361e-07
"Dm_00000002",703.011937639264,-0.415319091763271,0.0723549937357575,-5.74001973215599,9.4665520211872e-09,2.31131775164842e-08
"Dm_00000003",1161.30433882074,-2.5111535884803,0.064616155475421,-38.8626276200463,0,0
"Dm_00000004",273.179565576797,0.38078354364285,0.112618482206925,3.38118163360787,0.000721748165682931,0.00126749496787294
"Dm_00000005",555.808893095749,0.289865290166502,0.0790198918970681,3.66825723507801,0.000244209420417156,0.00044696776226871
"Dm_00000006",878.93534675598,0.458608863006558,0.0632423352996725,7.25161176976545,4.11840960340742e-13,1.21906752633603e-12
"Dm_00000007",1318.28627432594,-0.133233644435573,0.0550723891657145,-2.41924576823186,0.0155527281849928,0.023603448066792
"Dm_00000008",51.4311177476815,0.625857402183927,0.263153779865224,2.37829531654253,0.0173928900875418,0.0262303374140479
"Dm_00000009",558.303386401168,-0.0282405452711603,0.0791663666164983,-0.356724029131772,0.72129841485642,0.767383633703373
"Dm_00000010",4586.07504067845,-0.0296133713464055,0.0349032679472063,-0.84844122307395,0.396192293127413,0.459410802509048
"Dm_00000011",1873.68281121501,-0.293051543338044,0.0466793158210529,-6.27797426297911,3.43012676649768e-10,9.02480902951264e-10
"Dm_00000012",134.793911700538,1.82242929517257,0.173207458032462,10.5216560295632,6.86561139771064e-26,2.98623304121135e-25
"Dm_00000013",1714.31941518153,-0.853359588837345,0.051528261942012,-16.5610008309165,1.33357198087052e-61,1.0061206429934e-60
"Dm_00000014",361.622566078818,-0.507702498641832,0.0957825427877351,-5.30057444566864,1.15438881341083e-07,2.65333665501294e-07
"Dm_00000015",0.907926354915585,-0.146492510773245,1.98876091795032,-0.0736601918566586,0.94128077499555,0.954896371029515
"Dm_00000016",1628.80136778398,0.863378745744357,0.0497267630887103,17.3624561929384,1.5878279158422e-67,1.27296704956448e-66
"Dm_00000017",231.860306225741,0.804810202805239,0.124759732979637,6.45088109427583,1.11201724926037e-10,2.98816121287395e-10
"Dm_00000018",1505.53317778371,0.115156589133238,0.0524318632299049,2.1963093058184,0.0280698121149452,0.041046617331934
"Dm_00000019",157.150622768372,1.53164388319532,0.161741771829661,9.46968656191287,2.80684657158137e-21,1.08569395306853e-20
"Dm_00000020",0.104885012982156,0.610395732997747,4.08007469111898,0.149604058554708,0.881077005960728,NA
"Dm_00000021",1146.37768508899,1.17822244324033,0.0595164520450931,19.7965840159228,3.18578085430149e-87,3.03445626372217e-86
"Dm_00000022",381.465122946445,0.662363424530571,0.0969798091729598,6.82991057807993,8.49675791257062e-12,2.39670580146228e-11
"Dm_00000023",1899.93959248149,0.297985572120108,0.0481890921172046,6.18367267420921,6.26271588777211e-10,1.62793989012556e-09
"Dm_00000024",10550.1116966083,-0.858896499652669,0.0350075142179105,-24.5346326021983,6.31032656829746e-133,8.34527650792528e-132
"Dm_00000025",786.701772887414,0.0969477979920278,0.069467578160364,1.39558338665883,0.162839988149708,0.207746590956838
"Dm_00000026",1409.56897568406,-0.188557857875753,0.0510259059336152,-3.69533581865391,0.000219596345768464,0.000403488428635545
"Dm_00000027",0.38207906365439,-0.34846488712235,2.97252248775101,-0.117228679869802,0.90667884035449,NA
"Dm_00000028",570.931511092454,-0.976739257458757,0.0796330149115941,-12.2655064428127,1.38742101436921e-34,7.16408876151533e-34
"Dm_00000029",718.399503344344,-0.212771118067947,0.0732446677653386,-2.90493662623502,0.00367327466925587,0.0059967089632149
"Dm_00000030",1356.5177422272,-0.0598890562403901,0.0521074077928107,-1.14933862145898,0.250416378531707,0.306217552289804
"Dm_00000031",3596.49143690658,-0.329170624730322,0.0347496711474357,-9.47262560654802,2.72896313437725e-21,1.05582369623561e-20
